# Words habitually confused for each other, one group per line.
# Kazakh in Cyrillic script (42 letters). The Latin alphabet Kazakhstan is transitioning to is deliberately not used here; pkg/kb ships kbdkaz (Cyrillic) and CLDR kk is Cyrillic.
аайнинг майнинг
сыйкқы сыйақы
сыйлык сыйлық
сыйлыұ сыйлық
сыртунда сыртында
сыртындв сыртында
сіздиң сіздің
сіздін сіздің
сіздіғ сіздің
сізюің сіздің
сілоеме сілтеме
сілтемп сілтеме
сқша ақша
сұнақ сұрақ
сұраз сұрақ
сұрак сұрақ
сұраным сұраныс
сұраы сұрау
сұркныс сұраныс
сұтау сұрау
сәдем сәлем
сәлеидеме сәлемдеме
сәлемдемк сәлемдеме
сәлес сәлем
сөйбесу сөйлесу
сөйлесы сөйлесу
тааақ тамақ
табв табу
тагиф тариф
таду табу
талаа талап
тамаз тамақ
тамак тамақ
тамашк тамаша
тампша тамаша
тан таң
тапих тарих
тапсцрыс тапсырыс
тапсырыа тапсырыс
тариъ тарих
тариы тариф
тастау растау
тауелсиздик тәуелсіздік
тауелсіздік тәуелсіздік
тащап талап
теато театр
тевтр театр
тегин тегін
тегіп тегін
тейтинг рейтинг
текаеру тексеру
тексепілген тексерілген
тексерилген тексерілген
тексеруу тексеру
тексерц тексеру
тексерілгеп тексерілген
телефое телефон
телифон телефон
телнфон телефон
телофон телефон
тениз теңіз
теніз теңіз
теразе терезе
терезк терезе
територия территория
техеика техника
техникс техника
теііз теңіз
теңиз теңіз
теңіх теңіз
теүін тегін
тикелей тікелей
тиктеу тіктеу
тил тіл
тиркеу тіркеу
тирп тире
тис тіс
тите тире
тйындар ойындар
тлар олар
тналтыншы оналтыншы
тнбірінші онбірінші
тнтоғызыншы онтоғызыншы
тнтөртінші онтөртінші
тогыз тоғыз
тогызжуз тоғызжүз
тогызжүз тоғызжүз
тогызыншы тоғызыншы
тоз төз
токер токен
токсан тоқсан
токсаныншы тоқсаныншы
толем төлем
толемакы төлемақы
толемақы төлемақы
толеу төлеу
толкужат төлқұжат
толч толы
толқұжат төлқұжат
томен төмен
торт төрт
тортжуз төртжүз
тортжүз төртжүз
тортинши төртінші
тортінші төртінші
тос төс
точкс точка
тоыка точка
тоьы толы
тоғыдыншы тоғызыншы
тоғыжжүз тоғызжүз
тоғызжуз тоғызжүз
тоғызжүқ тоғызжүз
тоғызыншф тоғызыншы
тоғых тоғыз
тоқван тоқсан
тоқсагыншы тоқсаныншы
тоқсаныншц тоқсаныншы
тоқсап тоқсан
тоңен токен
тоңыз тоғыз
транзакциы транзакция
транзмкция транзакция
трман орман
ттызыншы отызыншы
тубиртек түбіртек
тубіртек түбіртек
туз тұз
туйе түйе
туйин түйін
туйін түйін
тун түн
тупнуска түпнұсқа
тупнұсқа түпнұсқа
тур түр
тураля туралы
турклы туралы
тус түс
тутынушы тұтынушы
тікелец тікелей
тікнлей тікелей
тіктев тіктеу
тікьеу тіктеу
тірвеу тіркеу
тіркец тіркеу
түбиртек түбіртек
түбінтек түбіртек
түбіртең түбіртек
түйа түйе
түйин түйін
түйіп түйін
түпнусқа түпнұсқа
түпнщсқа түпнұсқа
түпнұска түпнұсқа
түпнұсқм түпнұсқа
түфін түйін
түәе түйе
тұтыеушы тұтынушы
тұтынушя тұтынушы
тәуелміздік тәуелсіздік
тәуелсиздік тәуелсіздік
тәуелсіздик тәуелсіздік
тәуелсіздіғ тәуелсіздік
төаен төмен
төдеу төлеу
төлеаақы төлемақы
төлев төлеу
төлеи төлем
төлемакы төлемақы
төлемақя төлемақы
төлкұжат төлқұжат
төлқужат төлқұжат
төлқщжат төлқұжат
төлқұжаи төлқұжат
төмеп төмен
төнт төрт
төоем төлем
төро төрт
төрржүз төртжүз
төртжуз төртжүз
төртжүд төртжүз
төртинші төртінші
төртунші төртінші
төртінши төртінші
төртіншә төртінші
уакыт уақыт
уақыь уақыт
уаұыт уақыт
уеше кеше
узарту ұзарту
уздик үздік
уздік үздік
узын ұзын
укимет үкімет
укімет үкімет
улкен үлкен
улт ұлт
умит үміт
уміт үміт
уорпорация корпорация
упай ұпай
урланган ұрланған
урланған ұрланған
усыныс ұсыныс
утыс ұтыс
уурс курс
ушжуз үшжүз
ушжүз үшжүз
ушин үшін
ушинши үшінші
ушін үшін
ушінші үшінші
уіші кіші
уөктем көктем
уөру көру
уөше көше
факиура фактура
фактуре фактура
фишинн фишинг
фиштнг фишинг
фооо фото
фотр фото
фстық ыстық
хабанлама хабарлама
хабанласу хабарласу
хабап хабар
хабарламс хабарлама
хабарландырң хабарландыру
хабарласі хабарласу
хабарлма хабарлама
хабарлсндыру хабарландыру
хабу жабу
хадар хабар
хадық халық
хазылым жазылым
халпы жалпы
халык халық
халыұ халық
хаманауи заманауи
хауыт зауыт
хаңа жаңа
хеңіліс жеңіліс
хиырмасыншы жиырмасыншы
хмір өмір
хнер өнер
хнергия энергия
хоат хост
хокей хоккей
хоси хост
хосоинг хостинг
хостинн хостинг
хоғары жоғары
хылы жылы
хүрек жүрек
хұлдызша жұлдызша
хәрдем жәрдем
цактура фактура
цздеңіз іздеңіз
цріп әріп
цшінде ішінде
чайт сайт
чары сары
чатылым сатылым
чеанс сеанс
чексенінші сексенінші
ченің сенің
чиыр сиыр
чияқты сияқты
чоңғы соңғы
чпам спам
чәлемдеме сәлемдеме
шапоаң шапшаң
шапшан шапшаң
шапшаі шапшаң
шеоу шешу
шешц шешу
шздік үздік
шлардың олардың
шналты оналты
шнсегіз онсегіз
шның оның
шнүшінші онүшінші
шоп шөп
шотерея лотерея
шотфактурп шотфактура
шотфаутура шотфактура
шрталық орталық
шсыныс ұсыныс
шугыл шұғыл
шуғыл шұғыл
шшжүз үшжүз
шшін үшін
шыгу шығу
шынайф шынайы
шындык шындық
шындыұ шындық
шынейы шынайы
шынзық шындық
шығк шығу
шыңу шығу
шұгыл шұғыл
шұеыл шұғыл
шұғыо шұғыл
щала қала
щалам қалам
щалпынакелтіру қалпынакелтіру
щалқан қалқан
щант қант
щате қате
щауымдастық қауымдастық
щвездочка звездочка
щефис дефис
щиянды зиянды
щойма қойма
щомен домен
щоңырау қоңырау
щтыс ұтыс
щысқа қысқа
щұлақ құлақ
ъабарлама хабарлама
ъабарласу хабарласу
ъкспресс экспресс
ълектр электр
ыақыт уақыт
ыишинг фишинг
ыстык ыстық
ыстыщ ыстық
ысьық ыстық
ьазар базар
ьала бала
ьамақ тамақ
ьанк банк
ьапсырыс тапсырыс
ьасқару басқару
ьаға баға
ьеатр театр
ьегін тегін
ьексерілген тексерілген
ьесінші бесінші
ьилік билік
ьнбес онбес
ьнекі онекі
ьнжеті онжеті
ьнтоғыз онтоғыз
ьныншы оныншы
ьогин логин
ьонус бонус
ьочка точка
ьоғыз тоғыз
ьоғызжүз тоғызжүз
ьоқсан тоқсан
ьранзакция транзакция
ьтыз отыз
ьілім білім
ьірінші бірінші
ьңай оңай
ьүбіртек түбіртек
ьүйін түйін
ьұғатталған бұғатталған
ьөлемақы төлемақы
ьөмен төмен
ьөрт төрт
ьөртжүз төртжүз
эабарландыру хабарландыру
эаза жаза
эалған жалған
эаман жаман
эарық жарық
эасыл жасыл
эаңғырту жаңғырту
эетпіс жетпіс
эетіжүз жетіжүз
эетінші жетінші
эеңіс жеңіс
эиырма жиырма
эиырматөрт жиырматөрт
эиырмаүш жиырмаүш
экспиесс экспресс
экспресч экспресс
электо электр
элеутр электр
эненгия энергия
энергич энергия
эост хост
эостинг хостинг
эұлдыз жұлдыз
эұмыс жұмыс
эәне және
эөнелту жөнелту
юаптау баптау
юасы басы
юақылау бақылау
юаңарту жаңарту
юейбітшілік бейбітшілік
юелі желі
юеңілдік жеңілдік
юлог блог
юылжымайтын жылжымайтын
юылқы жылқы
юүлде жүлде
яото фото
іздаңіз іздеңіз
ізденіз іздеңіз
іздеы іздеу
іздеңиз іздеңіз
іздеңіө іздеңіз
ізюеу іздеу
ійел әйел
ікімші әкімші
ілеуметтік әлеуметтік
іни іні
ішинде ішінде
ішіндн ішінде
ішіпде ішінде
ғага ғана
ғанм ғана
ғарта карта
ғасса касса
ғлиника клиника
ғомпьютер компьютер
ғскі ескі
ғсік есік
ғылыа ғылым
ғыщым ғылым
ғөлік көлік
қабай қалай
қавіп қауіп
қадагалау қадағалау
қадакалау қадағалау
қадам қалам
қадағалав қадағалау
қажақ қазақ
қазаз қазақ
қазак қазақ
қазакстан қазақстан
қазащстан қазақстан
қазақстанн қазақстан
қазақстап қазақстан
қазақстн қазақстан
қаижы қаржы
қайдм қайда
қайрару қайтару
қайтарк қайтару
қалас қалам
қалаә қалай
қалзан қалқан
қалкан қалқан
қалм қала
қалпынавелтіру қалпынакелтіру
қалпынакелтиру қалпынакелтіру
қалпынакелтірц қалпынакелтіру
қалқае қалқан
қана қара
қани қант
қаое қате
қапт қант
қаранғы қараңғы
қараңгы қараңғы
қараңғч қараңғы
қаржч қаржы
қарс қара
қарсңғы қараңғы
қарыгдас қарындас
қарындав қарындас
қатк қате
қауип қауіп
қауипсіз қауіпсіз
қауипсіздік қауіпсіздік
қауипті қауіпті
қауымдастык қауымдастық
қауымдастыұ қауымдастық
қауымзастық қауымдастық
қауіисіз қауіпсіз
қауім қауіп
қауіпвіздік қауіпсіздік
қауіпсиз қауіпсіз
қауіпсиздік қауіпсіздік
қауіпсід қауіпсіз
қауіпсіздик қауіпсіздік
қауіпсіздің қауіпсіздік
қауіпти қауіпті
қауіптң қауіпті
қауәпті қауіпті
қацда қайда
қашар қашан
қаьа қала
қаүан қашан
қзарту ұзарту
қигашсызық қиғашсызық
қиғашсызык қиғашсызық
қиғашсызыө қиғашсызық
қиғашчызық қиғашсызық
қову қосу
қоймк қойма
қолдак қолдау
қолданушу қолданушы
қолдмнушы қолданушы
қолжетимділік қолжетімділік
қолжетімдилік қолжетімділік
қолжетімділик қолжетімділік
қолжетімділіу қолжетімділік
қолжетңмділік қолжетімділік
қоллау қолдау
қонакүй қонақүй
қонақуй қонақүй
қонақүә қонақүй
қонмқүй қонақүй
қоныр қоңыр
қонырау қоңырау
қоргалған қорғалған
қорганыс қорғаныс
қорғалган қорғалған
қорғалғаг қорғалған
қорғаныа қорғаныс
қорғвлған қорғалған
қорғкныс қорғаныс
қоск қосу
қосцмша қосымша
қосчлу қосылу
қосылы қосылу
қосымшс қосымша
қофма қойма
қоіыр қоңыр
қоңыо қоңыр
қоңыраң қоңырау
қоңярау қоңырау
қпай ұпай
қрланған ұрланған
қтініш өтініш
қуар қуат
қует қуат
қужат құжат
қулақ құлақ
қупиясөз құпиясөз
қурал құрал
қус құс
қуттықтау құттықтау
қуқық құқық
қыақа қысқа
қыгық қырық
қыжыл қызыл
қызиет қызмет
қызмер қызмет
қызымет қызмет
қызыь қызыл
қыркыншы қырқыншы
қырык қырық
қырыщ қырық
қырқыншч қырқыншы
қырқяншы қырқыншы
қыска қысқа
қысқм қысқа
құжар құжат
құкық құқық
құлак құлақ
құлаұ құлақ
құнал құрал
құпифсөз құпиясөз
құпиясоз құпиясөз
құпиясөд құпиясөз
құраь құрал
құттфқтау құттықтау
құттыктау құттықтау
құттықтак құттықтау
құщық құқық
құьақ құлақ
құэат құжат
құқыз құқық
құқык құқық
ңеден кеден
ңескін кескін
ңешіріңіз кешіріңіз
ңздеу іздеу
ңоманда команда
ңомпания компания
ңонсоль консоль
ңрипто крипто
ңіру кіру
ңүдікті күдікті
ңүшті күшті
үзбік үздік
үздик үздік
үздіғ үздік
үзын ұзын
үкимет үкімет
үкімеи үкімет
үкіпет үкімет
үлеен үлкен
үлкее үлкен
үмит үміт
үміь үміт
үмәт үміт
үшжуз үшжүз
үшжүх үшжүз
үшзүз үшжүз
үшин үшін
үшинші үшінші
үшун үшін
үшігші үшінші
үшіе үшін
үшінши үшінші
үшіншц үшінші
ұадағалау қадағалау
ұайда қайда
ұапшаң шапшаң
ұараңғы қараңғы
ұаржы қаржы
ұарындас қарындас
ұашан қашан
ұешу шешу
ұзарты ұзарту
ұзатту ұзарту
ұзвн ұзын
ұзыр ұзын
ұкімет үкімет
ұлкен үлкен
ұолжетімділік қолжетімділік
ұпац ұпай
ұпкй ұпай
ұрланган ұрланған
ұрланғап ұрланған
ұрларған ұрланған
ұсыныч ұсыныс
ұсыпыс ұсыныс
ұтчс ұтыс
ұтым ұтыс
ұуат қуат
ұшінші үшінші
ұызмет қызмет
ұынайы шынайы
ұындық шындық
ұырық қырық
ұырқыншы қырқыншы
ұұжат құжат
ұұғыл шұғыл
һабар хабар
һтірік өтірік
әйеш әйел
әйғл әйел
әкимші әкімші
әкімши әкімші
әкімшң әкімші
әкісші әкімші
әлаіз әлсіз
әлеуметтик әлеуметтік
әлеуметтів әлеуметтік
әлеумнттік әлеуметтік
әлсиз әлсіз
әлсіщ әлсіз
әмияп әмиян
әмпян әмиян
әрип әріп
әруп әріп
әріи әріп
өазақ қазақ
өазақстан қазақстан
өайтару қайтару
өауіпсіз қауіпсіз
өауіпсіздік қауіпсіздік
өзан өзен
өзее өзен
өлим өлім
өлум өлім
өліс өлім
өмир өмір
өміг өмір
өмәр өмір
өнеи өнер
өнғр өнер
өонақүй қонақүй
өорғаныс қорғаныс
өосу қосу
өосымша қосымша
өтемакы өтемақы
өтемақф өтемақы
өтепақы өтемақы
өтиніш өтініш
өтирік өтірік
өтігіш өтініш
өтіниш өтініш
өтініг өтініш
өтіпік өтірік
өтірик өтірік
өтіріе өтірік
өұқық құқық
