abilidade habilidade
supermecado supermercado
supermecados supermercados
supertição superstição
supertições superstições
surgio surgiu
suspeitu suspeito
suspenção suspensão
sussuarana suçuarana
suéca sueca
suéco sueco
suícidio suicídio
suícidios suicídios
sâo são
sâos sãos
séniores seniores
sêniores seniores
síntaxe sintaxe
síntaze sintaxe
sócio socio
taijiquistão tajiquistão
tansmitir ttransmitir
tansmitirem ttransmitirem
tao tão
tarracha tarraxa
tecnica técnica
tecnicaa técnica
tecnicaas técnicas
tecnicao técnico
tecnicaos técnicos
tecnico técnico
tem têm
tendencia tendência
tendencias tendências
territorio território
territorios territórios
tijela tigela
tijelas tigelas
tils tiles
tipica típica
tipicas típicas
tipico típico
tipicos típicos
titulo título
titulos títulos
toraxica torácica
toraxicas torácicas
toraxico torácico
toraxicos torácicos
toráxica torácica
toráxicas torácicas
toráxico torácico
toráxicos torácicos
tracao tração
tragectoria trajectória
tragectorias trajectórias
tragectória trajectória
tragectórias trajectórias
tragetoria trajetória
tragetorias trajetórias
tragetória trajetória
tragetórias trajetórias
transcedentais transcendentais
transcedental transcendental
transmissiveis transmissíveis
transmissivel transmissível
transsexuai transexuai
transsexuais transexuais
transsexual transexual
transsexualidade transexualidade
traser trazer
trasnporta transporta
trasnporte transporte
trasnportes transportes
trigesima trigésima
trigesimas trigésimas
trigesimo trigésimo
trigesimos trigésimos
trofeis troféus
troféis troféus
trovao trovão
trás traz
turistica turística
turisticas turísticas
turistico turístico
turisticos turísticos
términa termina
términam terminam
términar terminar
ultilizada utilizada
ultilizado utilizado
ultilizar utilizar
ultima última
ultimas últimas
ultimo último
ultimos últimos
umidade humidade
unica única
unicas únicas
unico único
unicos únicos
univercidade universidade
univercidades universidades
universitaria universitária
universitarias universitárias
universitario universitário
universitarios universitários
uqe que
usuaria usuária
usuario usuário
util útil
utilisador utilizador
uzada usada
uzadas usadas
uzado usado
uzados usados
uzar usar
uzo uso
uzou usou
varias várias
varios vários
varíaveis variáveis
varíavel variável
vasão vazão
veiculo veículo
veiculos veículos
vem vêm
verçao versão
verçoes versões
verção versão
verções versões
ves vez
veses vezes
vespera véspera
vestigio vestígio
vestigios vestígios
vezis vezes
viajens viagens
vigilancia vigilância
vigilancias vigilâncias
vinheram vieram
violencia violência
vitoria vitória
vitorias vitórias
viuva viúva
viuvas viúvas
voce você
váriados variados
várisa várias
váriso vários
wikimapa wikimapia
xafariz chafariz
xilique chilique
xunga chunga
xuxu chuchu
xuxú chuchu
xícara chícara
yoga ioga
yôga ioga
zoologico zoológico
ºc °c
ºf °f
ès és
épiro epiro
ínicia inicia
ínicio início
ínicía inicia
ínicío início
ínícia inicia
ínício início
ínícía inicia
ínícío início
ípslon ípsilon
ítem item
ítens itens
úmidade umidade
