# Words habitually confused for each other, one group per line.
# Kyrgyz in Cyrillic script (36 letters). pkg/kb ships kbdkyr (Kyrgyz Cyrillic); CLDR ky is Cyrillic. Letters CLDR keeps in auxiliary (в ф ц щ ь) are included because they belong to the standard alphabet and occur in Russian loans.
ааат саат
ушуд ушул
уыйгачсызык кыйгачсызык
уыска кыска
уүчтүү күчтүү
уөңүл көңүл
факиура фактура
фактуре фактура
фишино фишинг
фиштнг фишинг
фооо фото
фотр фото
хазылуучу жазылуучу
халпы жалпы
харык жарык
хкижүз экижүз
хкинчи экинчи
хлүү элүү
хнергия энергия
хоат хост
хогору жогору
хокей хоккей
хоси хост
хосоинг хостинг
хостинн хостинг
хсеп эсеп
хсепфактура эсепфактура
хыйырмаэки жыйырмаэки
хылдыз жылдыз
хүзүнчү жүзүнчү
хүрөк жүрөк
цактура фактура
цлдам ылдам
цнаа унаа
црастоо ырастоо
цтуш утуш
чабак сабак
чайт сайт
чалам салам
чалув чалуу
чары сары
чатыпалуучу сатыпалуучу
чаьуу чалуу
чаякат саякат
чеанс сеанс
чегиз сегиз
чегизжүз сегизжүз
чегизинчи сегизинчи
чееит чекит
чейие чейин
чекир чекит
ченин сенин
чефин чейин
чиңди сиңди
чон чоң
чонун сонун
чоп чөп
чпам спам
чунуш сунуш
чуроо суроо
чыгарук чыгаруу
чыгмруу чыгаруу
чыгук чыгуу
чынбык чындык
чынвгы чыныгы
чындыа чындык
чынуу чыгуу
чыныгц чыныгы
шаат шаар
шамаь шамал
шапоаң шапшаң
шапшан шапшаң
шасал шамал
шаср шаар
шашчлыш шашылыш
шашылыо шашылыш
шекиүү шектүү
шектуу шектүү
шектуү шектүү
шектүу шектүү
шилиеме шилтеме
шилтемн шилтеме
шналты оналты
шнбеш онбеш
шнсегиз онсегиз
шнунчу онунчу
шотерея лотерея
шюндар оюндар
шюнчу оюнчу
щагы дагы
щаказ заказ
щаманбап заманбап
щарак дарак
щарыя дарыя
щашылыш шашылыш
щвездочка звездочка
щефис дефис
щомен домен
щыяндуу зыяндуу
щыянкеч зыянкеч
ъгемендүүлүк эгемендүүлүк
ъкспресс экспресс
ълектр электр
ълүүнчү элүүнчү
ъртең эртең
ъски эски
ъчки эчки
ыбакыт убакыт
ыейин чейин
ыишинг фишинг
ылбам ылдам
ылдас ылдам
ылут улут
ыпай упай
ыраатоо ырастоо
ырастоь ырастоо
ысцк ысык
ысыв ысык
ьабуу табуу
ьазар базар
ьала бала
ьалаа талаа
ьамга тамга
ьанк банк
ьашы башы
ьеатр театр
ьелек белек
ьилим билим
ьнжети онжети
ьнэки онэки
ьогин логин
ьогуз тогуз
ьогузжүз тогузжүз
ьокой токой
ьонус бонус
ьорукана оорукана
ьочка точка
ьранзакция транзакция
ьрондоо брондоо
ьулут булут
ьуташуу туташуу
ьөлүм бөлүм
ьөмөн төмөн
ьөрт төрт
ьөртжүз төртжүз
эаза жаза
эалдоо жалдоо
эаман жаман
эамгыр жамгыр
эаңы жаңы
эаңыртуу жаңыртуу
эгемендуулук эгемендүүлүк
эгемендуүлүк эгемендүүлүк
эгемендүулүк эгемендүүлүк
эгемендүүлук эгемендүүлүк
эгемендүүлүв эгемендүүлүк
эгеменлүүлүк эгемендүүлүк
эетижүз жетижүз
экидүз экижүз
экиечи экинчи
экижуз экижүз
экижүх экижүз
экинчт экинчи
экспиесс экспресс
экспресч экспресс
элас элес
элеатр электр
электо электр
элеч элес
элуу элүү
элуунчу элүүнчү
элуү элүү
элуүнчү элүүнчү
элүу элүү
элүунчү элүүнчү
элүүнчу элүүнчү
эмее эмне
эмнн эмне
эненгия энергия
энергич энергия
эост хост
эостинг хостинг
эрвек эркек
эриең эртең
эркеу эркек
эртен эртең
эртп эрте
эрье эрте
эсап эсеп
эсеа эсеп
эсеи эски
эсепфактурс эсепфактура
эсепфкктура эсепфактура
эскертуу эскертүү
эскертуү эскертүү
эскертүу эскертүү
эскеттүү эскертүү
эскп эски
эчви эчки
эчкм эчки
эшие эшик
эшмк эшик
эыйырма жыйырма
эыйырматөрт жыйырматөрт
эылдызча жылдызча
эылкы жылкы
юазылуу жазылуу
юайке байке
юайланыш байланыш
юактылуу бактылуу
юалык балык
юарды жарды
юашкаруу башкаруу
юашоо жашоо
юашталыш башталыш
юашыл жашыл
юаңыртылган жаңыртылган
юеткирүү жеткирүү
юеңилүү жеңилүү
юеңиш жеңиш
юиздин биздин
юиринчи биринчи
юирок бирок
юлог блог
юостук достук
юузулган бузулган
юүктөө жүктөө
юүрбөлөң дүрбөлөң
яалуу чалуу
яекит чекит
яото фото
яындык чындык
яыныгы чыныгы
үмут үмүт
үмүр үмүт
үчжуз үчжүз
үчжүщ үчжүз
үчун үчүн
үчунчү үчүнчү
үчэүз үчжүз
үчүгчү үчүнчү
үчүе үчүн
үчүнчу үчүнчү
өкмот өкмөт
өкмөи өкмөт
өкпөт өкмөт
өлум өлүм
өлүи өлүм
өнор өнөр
өнөи өнөр
өркундөтүү өркүндөтүү
өркүндотүү өркүндөтүү
өркүндөтуү өркүндөтүү
өркүндөтүу өркүндөтүү
өркүнжөтүү өркүндөтүү
