# Words habitually confused for each other, one group per line.
# Tatar in Cyrillic script (39 letters). pkg/kb ships kbdtat and kbdtt102, both Cyrillic; CLDR tt is Cyrillic. Zamanalif/Latin is deliberately not used here.
аазан казан
хакерлангар хакерланган
хакерәанган хакерланган
хакииият хакимият
хакимияр хакимият
хакыйкыф хакыйкый
хакыөкать хакыйкать
хакыөкый хакыйкый
халыв халык
хам һәм
хаоык халык
хапрос запрос
хар һәр
харарлы зарарлы
хареф хәреф
хастахана хастаханә
хастаханз хастаханә
хасткханә хастаханә
хатс хата
хатыг хатын
хезиәт хезмәт
хезмат хезмәт
хезмәр хезмәт
хезмәтт хезмәт
хивап хисап
хисан хисап
хисапфактурк хисапфактура
хисапфпктура хисапфактура
хич һич
хлемтә элемтә
хлән үлән
хнергия энергия
хоат хост
ховук хокук
хокей хоккей
хокумат хөкүмәт
хокуу хокук
хокүмәт хөкүмәт
хонар һөнәр
хоси хост
хосоинг хостинг
хостинн хостинг
хыыл хыял
хыяо хыял
хәбар хәбәр
хәбарләр хәбәрләр
хәбәгләр хәбәрләр
хәбән хәбәр
хәбәрлар хәбәрләр
хәбәрләп хәбәрләр
хәм һәм
хәпеф хәреф
хәр һәр
хәрей хәреф
хәюәр хәбәр
хөкумәт хөкүмәт
хөкэмәт хөкүмәт
хөкүмат хөкүмәт
хөкүмәи хөкүмәт
хөнәр һөнәр
чай чәй
чайт сайт
чары сары
чачак чәчәк
чачәк чәчәк
чеанс сеанс
челоәр челтәр
челтар челтәр
челтәт челтәр
чигез сигез
чигнал сигнал
чиксәненче сиксәненче
чктылык яктылык
члган ялган
чоциаль социаль
чоңгы соңгы
чпам спам
чрдәм ярдәм
чшанычлы ышанычлы
чшел яшел
чыгарв чыгару
чыгв чыгу
чыгеру чыгару
чызык сызык
чышу чыгу
чәвәк чәчәк
чәнгать сәнгать
чәчак чәчәк
чәчәу чәчәк
шалтыраты шалтырату
шалтөрату шалтырату
шап шәп
шахар шәһәр
шаһәр шәһәр
шзын озын
шивле шикле
шиггият шигрият
шигрияр шигрият
шигрият шигърият
шигъгият шигърият
шигърияи шигърият
шикар шикәр
шиклк шикле
шикәи шикәр
шиуәр шикәр
шотерея лотерея
шәхәр шәһәр
шәһар шәһәр
шәһәг шәһәр
ыелтәр челтәр
ыенчы уенчы
ызылучы язылучы
ыишинг фишинг
ыкытучы укытучы
ыналтынчы уналтынчы
ынбишенче унбишенче
ындүртенче ундүртенче
ынике унике
ырам урам
ырату ярату
ырланган урланган
ырлы ярлы
ытыз утыз
ыхшы яхшы
ычен өчен
ыченче өченче
ышанучлы ышанычлы
ышанычлф ышанычлы
ышаныя ышаныч
ышапыч ышаныч
ыңалык яңалык
ыңалыклар яңалыклар
ыңарган яңарган
ыңгыр яңгыр
ыәчәк чәчәк
эзбәү эзләү
эзлау эзләү
эзлаү эзләү
эзләу эзләү
эзләэ эзләү
эзәк үзәк
экспиесс экспресс
экспресч экспресс
элеатр электр
элеитә элемтә
электо электр
элем үлем
элемта элемтә
элемтд элемтә
эненгия энергия
энергич энергия
эокук хокук
эост хост
эостинг хостинг
эчеедә эчендә
эченда эчендә
эчендз эчендә
эыял хыял
эөкүмәт хөкүмәт
юалык балык
юарлык барлык
юаруханә даруханә
югарө югары
югпры югары
юелдерү белдерү
юиңгез диңгез
юлог блог
юридиа юридик
юризик юридик
юулышу булышу
юуслык дуслык
юүген бүген
юүртйөз дүртйөз
юәүхезмәт дәүхезмәт
яайдаланучы файдаланучы
язылк язылу
язылучв язылучы
языоучы язылучы
язөлу язылу
яктвлык яктылык
яктылыу яктылык
ялгае ялган
ялран ялган
яна яңа
янадан яңадан
яналык яңалык
яналыклар яңалыклар
янарган яңарган
янарту яңарту
янгыр яңгыр
янсык янчык
янчыа янчык
яото фото
яратв ярату
ярдам ярдәм
ярдәа ярдәм
ярлв ярлы
яроы ярлы
ярсту ярату
ярңәм ярдәм
яхгы яхшы
яхшв яхшы
яшеә яшел
яшкл яшел
яыгару чыгару
яыгу чыгу
яңадаг яңадан
яңаиган яңарган
яңалфклар яңалыклар
яңалыклао яңалыклар
яңалыу яңалык
яңанту яңарту
яңаргае яңарган
яңартк яңарту
яңаҗык яңалык
яңаәан яңадан
яңгыт яңгыр
яңшыр яңгыр
җаваи җавап
җагын тагын
җаза җәза
җазар базар
җай җәй
җала бала
җамгыять җәмгыять
җанк банк
җачап җавап
җашлама ташлама
җеатр театр
җеренче беренче
җеркәү теркәү
җибарү җибәрү
җибзрү җибәрү
җибәру җибәрү
җибәрх җибәрү
җидейоз җидейөз
җидейөд җидейөз
җиденча җиденче
җидп җиде
җидпйөз җидейөз
җидпнче җиденче
җизе җиде
җизү җиңү
җинел җиңел
җинелү җиңелү
җинү җиңү
җирез җитез
җитед җитез
җиткеру җиткерү
җиткерэ җиткерү
җитмег җитмеш
җитмешенчп җитмешенче
җитмеәенче җитмешенче
җитпеш җитмеш
җитуерү җиткерү
җиюел җиңел
җиңелу җиңелү
җиңелэ җиңелү
җиңео җиңел
җиңплү җиңелү
җиңу җиңү
җиңэ җиңү
җлокланган блокланган
җогин логин
җонус бонус
җоташу тоташу
җочка точка
җояльлек лояльлек
җранзакция транзакция
җуксан туксан
җурыдан турыдан
җурында турында
җушлай бушлай
җылф җылы
җышында тышында
җыәы җылы
җүлмә бүлмә
җүләм түләм
җәзс җәза
җәкдим тәкдим
җәкин ләкин
җәмгчять җәмгыять
җәңкә тәңкә
җәәа җәза
ңакыйкать хакыйкать
ңару дару
ңастаханә хастаханә
ңата хата
ңатын хатын
ңзләү эзләү
ңокумент документ
ңуслар дуслар
ңчендә эчендә
ңыян зыян
ңүрт дүрт
ңәреф хәреф
үакыйкый хакыйкый
үалык халык
үзак үзәк
үздк үзәк
үзәв үзәк
үисап хисап
үкспресс экспресс
үлан үлән
үлеи үлем
үлектр электр
үлзн үлән
үлкм үлем
үләр үлән
һам һәм
һар һәр
һонәр һөнәр
һөнар һөнәр
һөнәт һөнәр
һөпәр һөнәр
әаказ заказ
әакон закон
әалтырату шалтырату
әвездочка звездочка
әгза әгъза
әгзе әгза
әгъзалыв әгъзалык
әгъзе әгъза
әгъзмлык әгъзалык
әгәа әгза
әефис дефис
әкпен әкрен
әкреп әкрен
әомен домен
әәһәр шәһәр
әөресләү дөресләү
өактура фактура
өикер фикер
өинанс финанс
өмер өмет
өмнт өмет
өналты уналты
өнберенче унберенче
өникенче уникенче
өнсигез унсигез
өнтугызынчы унтугызынчы
өнҗиде унҗиде
өнөч унөч
өолдыз йолдыз
өрман урман
өрнаштыру урнаштыру
өчан өчен
өчее өчен
өченчк өченче
өчепче өченче
өчйоз өчйөз
өчйөд өчйөз
өчөөз өчйөз
